Month,Count
2001 Jan,0
2001 Feb,0
2001 Mar,57
2001 Apr,59
2001 May,79
2001 Jun,92
2001 Jul,62
2001 Aug,57
2001 Sep,31
2001 Oct,2
2001 Nov,0
2001 Dec,0
2002 Jan,0
2002 Feb,0
2002 Mar,81
2002 Apr,68
2002 May,87
2002 Jun,77
2002 Jul,75
2002 Aug,74
2002 Sep,24
2002 Oct,0
2002 Nov,0
2002 Dec,0
2003 Jan,0
2003 Feb,2
2003 Mar,58
2003 Apr,54
2003 May,90
2003 Jun,85
2003 Jul,66
2003 Aug,79
2003 Sep,25
2003 Oct,0
2003 Nov,0
2003 Dec,0
2004 Jan,0
2004 Feb,2
2004 Mar,21
2004 Apr,112
2004 May,100
2004 Jun,96
2004 Jul,75
2004 Aug,93
2004 Sep,31
2004 Oct,0
2004 Nov,0
2004 Dec,0
2005 Jan,2
2005 Feb,2
2005 Mar,27
2005 Apr,122
2005 May,104
2005 Jun,75
2005 Jul,76
2005 Aug,80
2005 Sep,30
2005 Oct,0
2005 Nov,0
2005 Dec,0
2006 Jan,0
2006 Feb,0
2006 Mar,64
2006 Apr,88
2006 May,95
2006 Jun,75
2006 Jul,66
2006 Aug,82
2006 Sep,30
2006 Oct,0
2006 Nov,0
2006 Dec,0
2007 Jan,0
2007 Feb,0
2007 Mar,68
2007 Apr,101
2007 May,108
2007 Jun,101
2007 Jul,84
2007 Aug,96
2007 Sep,47
2007 Oct,0
2007 Nov,1
2007 Dec,0
2008 Jan,0
2008 Feb,1
2008 Mar,114
2008 Apr,73
2008 May,103
2008 Jun,83
2008 Jul,102
2008 Aug,105
2008 Sep,50
2008 Oct,0
2008 Nov,0
2008 Dec,0
2009 Jan,0
2009 Feb,2
2009 Mar,15
2009 Apr,139
2009 May,105
2009 Jun,96
2009 Jul,85
2009 Aug,91
2009 Sep,42
2009 Oct,1
2009 Nov,0
2009 Dec,0
2010 Jan,0
2010 Feb,6
2010 Mar,23
2010 Apr,129
2010 May,99
2010 Jun,67
2010 Jul,91
2010 Aug,111
2010 Sep,40
2010 Oct,3
2010 Nov,1
2010 Dec,0
2011 Jan,0
2011 Feb,0
2011 Mar,95
2011 Apr,79
2011 May,129
2011 Jun,86
2011 Jul,85
2011 Aug,108
2011 Sep,44
2011 Oct,1
2011 Nov,0
2011 Dec,0
2012 Jan,0
2012 Feb,7
2012 Mar,30
2012 Apr,127
2012 May,146
2012 Jun,121
2012 Jul,92
2012 Aug,100
2012 Sep,33
2012 Oct,3
2012 Nov,1
2012 Dec,0
2013 Jan,0
2013 Feb,10
2013 Mar,96
2013 Apr,93
2013 May,113
2013 Jun,106
2013 Jul,89
2013 Aug,122
2013 Sep,52
2013 Oct,2
2013 Nov,0
2013 Dec,0
2014 Jan,0
2014 Feb,6
2014 Mar,107
2014 Apr,86
2014 May,102
2014 Jun,108
2014 Jul,92
2014 Aug,86
2014 Sep,40
2014 Oct,0
2014 Nov,0
2014 Dec,0
2015 Jan,0
2015 Feb,6
2015 Mar,13
2015 Apr,201
2015 May,121
2015 Jun,91
2015 Jul,87
2015 Aug,105
2015 Sep,50
2015 Oct,1
2015 Nov,0
2015 Dec,0
2016 Jan,0
2016 Feb,10
2016 Mar,11
2016 Apr,177
2016 May,103
2016 Jun,110
2016 Jul,116
2016 Aug,142
2016 Sep,46
2016 Oct,4
2016 Nov,1
2016 Dec,0
2017 Jan,0
2017 Feb,10
2017 Mar,32
2017 Apr,189
2017 May,158
2017 Jun,149
2017 Jul,127
2017 Aug,144
2017 Sep,51
2017 Oct,1
2017 Nov,0
2017 Dec,0
2018 Jan,0
2018 Feb,14
2018 Mar,120
2018 Apr,122
2018 May,155
2018 Jun,143
2018 Jul,160
2018 Aug,146
2018 Sep,47
2018 Oct,2
2018 Nov,0
2018 Dec,0
2019 Jan,0
2019 Feb,11
2019 Mar,126
2019 Apr,125
2019 May,150
2019 Jun,143
2019 Jul,137
2019 Aug,155
2019 Sep,60
2019 Oct,0
2019 Nov,0
2019 Dec,0
2020 Jan,0
2020 Feb,9
2020 Mar,2
2020 Apr,0
2020 May,0
2020 Jun,16
2020 Jul,178
2020 Aug,263
2020 Sep,183
2020 Oct,3
2020 Nov,0
2020 Dec,0
2021 Jan,0
2021 Feb,24
2021 Mar,36
2021 Apr,274
2021 May,272
2021 Jun,201
2021 Jul,194
2021 Aug,232
2021 Sep,197
2021 Oct,31
2021 Nov,1
2021 Dec,0
2022 Jan,0
2022 Feb,0
2022 Mar,46
2022 Apr,221
2022 May,208
2022 Jun,204
2022 Jul,167
2022 Aug,171
2022 Sep,140
2022 Oct,32
2022 Nov,1
2022 Dec,0
2023 Jan,0
2023 Feb,14
2023 Mar,150
2023 Apr,147
2023 May,156
2023 Jun,156
2023 Jul,137
2023 Aug,139
2023 Sep,167
2023 Oct,7
2023 Nov,0
2023 Dec,0
