"date","shot","num_shots","make","opponent","quarter","time","court","away_score","home_score"
"2010-10-27",1,2,TRUE,"San Antonio Spurs","3","04:26:00","away",83,81
"2010-10-27",2,2,TRUE,"San Antonio Spurs","3","04:26:00","away",84,81
"2010-11-09",1,2,FALSE,"Denver Nuggets","4","06:50:00","home",93,124
"2010-11-09",2,2,TRUE,"Denver Nuggets","4","06:50:00","home",93,125
"2010-11-18",1,1,TRUE,"Los Angeles Clippers","4","00:26:00","home",78,107
"2010-12-31",1,2,TRUE,"Washington Wizards","1","00:38:00","home",20,24
"2010-12-31",2,2,TRUE,"Washington Wizards","1","00:38:00","home",20,25
"2010-12-31",1,1,TRUE,"Washington Wizards","3","05:12:00","home",47,67
"2011-01-14",1,2,FALSE,"Chicago Bulls","2","10:47:00","home",30,24
"2011-01-14",2,2,TRUE,"Chicago Bulls","2","10:47:00","home",30,25
"2011-01-19",1,2,TRUE,"Golden State Warriors","3","01:28:00","away",76,77
"2011-01-19",2,2,TRUE,"Golden State Warriors","3","01:28:00","away",77,77
"2011-01-19",1,2,TRUE,"Golden State Warriors","3","00:34:00","away",80,77
"2011-01-19",2,2,TRUE,"Golden State Warriors","3","00:34:00","away",81,77
"2011-01-23",1,2,FALSE,"Denver Nuggets","4","00:41:00","away",106,121
"2011-01-23",2,2,TRUE,"Denver Nuggets","4","00:41:00","away",107,121
"2011-01-26",1,2,TRUE,"Orlando Magic","1","02:14:00","home",19,17
"2011-01-26",2,2,TRUE,"Orlando Magic","1","02:14:00","home",19,18
"2011-01-26",1,2,TRUE,"Orlando Magic","3","00:45:00","home",86,71
"2011-01-26",2,2,TRUE,"Orlando Magic","3","00:45:00","home",86,72
"2011-01-28",1,2,TRUE,"New Jersey Nets","1","03:50:00","home",21,20
"2011-01-28",2,2,FALSE,"New Jersey Nets","1","03:50:00","home",21,20
"2011-01-28",1,2,TRUE,"New Jersey Nets","4","04:15:00","home",85,116
"2011-01-28",2,2,FALSE,"New Jersey Nets","4","04:15:00","home",85,116
"2011-01-29",1,2,FALSE,"Chicago Bulls","4","04:30:00","away",82,95
"2011-01-29",2,2,FALSE,"Chicago Bulls","4","04:30:00","away",82,95
"2011-01-29",1,2,TRUE,"Chicago Bulls","4","00:18:00","away",88,110
"2011-01-29",2,2,TRUE,"Chicago Bulls","4","00:18:00","away",89,110
"2011-01-31",1,2,TRUE,"Toronto Raptors","2","06:07:00","home",26,44
"2011-01-31",2,2,TRUE,"Toronto Raptors","2","06:07:00","home",26,45
"2011-01-31",1,2,TRUE,"Toronto Raptors","4","11:46:00","home",70,76
"2011-01-31",2,2,TRUE,"Toronto Raptors","4","11:46:00","home",70,77
"2011-01-31",1,2,TRUE,"Toronto Raptors","4","08:32:00","home",76,83
"2011-01-31",2,2,TRUE,"Toronto Raptors","4","08:32:00","home",76,84
"2011-01-31",1,2,FALSE,"Toronto Raptors","4","08:16:00","home",76,84
"2011-01-31",2,2,TRUE,"Toronto Raptors","4","08:16:00","home",76,85
"2011-02-02",1,2,TRUE,"Cleveland Cavaliers","1","01:14:00","away",29,23
"2011-02-02",2,2,TRUE,"Cleveland Cavaliers","1","01:14:00","away",30,23
"2011-02-04",1,2,TRUE,"Portland Trail Blazers","1","01:49:00","home",18,26
"2011-02-04",2,2,TRUE,"Portland Trail Blazers","1","01:49:00","home",18,27
"2011-02-04",1,2,FALSE,"Portland Trail Blazers","1","00:51:00","home",23,28
"2011-02-04",2,2,TRUE,"Portland Trail Blazers","1","00:51:00","home",23,29
"2011-02-04",1,2,FALSE,"Portland Trail Blazers","4","11:10:00","home",72,86
"2011-02-04",2,2,TRUE,"Portland Trail Blazers","4","11:10:00","home",72,87
"2011-02-06",1,1,TRUE,"New Jersey Nets","1","00:25:00","away",33,24
"2011-02-06",1,2,TRUE,"New Jersey Nets","3","03:02:00","away",73,63
"2011-02-06",2,2,TRUE,"New Jersey Nets","3","03:02:00","away",74,63
"2011-02-06",1,2,FALSE,"New Jersey Nets","4","02:58:00","away",97,77
"2011-02-06",2,2,TRUE,"New Jersey Nets","4","02:58:00","away",98,77
"2011-02-08",1,2,TRUE,"Miami Heat","2","11:02:00","away",32,37
"2011-02-08",2,2,TRUE,"Miami Heat","2","11:02:00","away",33,37
"2011-02-09",1,1,TRUE,"Charlotte Bobcats","4","11:26:00","home",73,84
"2011-02-12",1,2,FALSE,"Milwaukee Bucks","4","11:28:00","away",75,74
"2011-02-12",2,2,TRUE,"Milwaukee Bucks","4","11:28:00","away",76,74
"2011-02-12",1,2,FALSE,"Milwaukee Bucks","4","09:45:00","away",76,76
"2011-02-12",2,2,TRUE,"Milwaukee Bucks","4","09:45:00","away",77,76
"2011-02-12",1,2,TRUE,"Milwaukee Bucks","4","07:59:00","away",78,78
"2011-02-12",2,2,FALSE,"Milwaukee Bucks","4","07:59:00","away",78,78
"2011-02-12",1,2,FALSE,"Milwaukee Bucks","4","00:28:00","away",98,91
"2011-02-12",2,2,TRUE,"Milwaukee Bucks","4","00:28:00","away",99,91
"2011-02-15",1,3,TRUE,"Miami Heat","3","05:33:00","home",68,71
"2011-02-15",2,3,TRUE,"Miami Heat","3","05:33:00","home",68,72
"2011-02-15",3,3,TRUE,"Miami Heat","3","05:33:00","home",68,73
"2011-02-22",1,1,TRUE,"Washington Wizards","4","03:21:00","away",109,91
"2011-02-25",1,2,TRUE,"Utah Jazz","2","11:35:00","home",26,14
"2011-02-25",2,2,TRUE,"Utah Jazz","2","11:35:00","home",26,15
"2011-02-25",1,2,TRUE,"Utah Jazz","3","01:19:00","home",63,60
"2011-02-25",2,2,TRUE,"Utah Jazz","3","01:19:00","home",63,61
"2011-03-02",1,3,TRUE,"Oklahoma City Thunder","4","01:03:00","away",88,111
"2011-03-02",2,3,FALSE,"Oklahoma City Thunder","4","01:03:00","away",88,111
"2011-03-02",3,3,TRUE,"Oklahoma City Thunder","4","01:03:00","away",89,111
"2011-03-04",1,1,TRUE,"Dallas Mavericks","4","08:28:00","away",90,94
"2011-03-05",1,2,TRUE,"Houston Rockets","4","00:14:00","away",94,112
"2011-03-05",2,2,TRUE,"Houston Rockets","4","00:14:00","away",95,112
"2011-03-08",1,2,FALSE,"Philadelphia 76ers","1","01:30:00","home",24,18
"2011-03-08",2,2,TRUE,"Philadelphia 76ers","1","01:30:00","home",24,19
"2011-03-08",1,1,TRUE,"Philadelphia 76ers","4","04:46:00","home",98,85
"2011-03-09",1,2,FALSE,"Minnesota Timberwolves","1","07:10:00","away",6,8
"2011-03-09",2,2,FALSE,"Minnesota Timberwolves","1","07:10:00","away",6,8
"2011-03-09",1,2,TRUE,"Minnesota Timberwolves","1","04:27:00","away",8,14
"2011-03-09",2,2,TRUE,"Minnesota Timberwolves","1","04:27:00","away",9,14
"2011-03-09",1,2,TRUE,"Minnesota Timberwolves","2","03:50:00","away",33,44
"2011-03-09",2,2,TRUE,"Minnesota Timberwolves","2","03:50:00","away",34,44
"2011-03-11",1,1,TRUE,"Toronto Raptors","1","06:25:00","away",14,13
"2011-03-15",1,2,TRUE,"New York Knicks","4","00:13:00","home",115,117
"2011-03-15",2,2,FALSE,"New York Knicks","4","00:13:00","home",115,117
"2011-03-18",1,2,TRUE,"Chicago Bulls","OT1","00:18:00","home",108,114
"2011-03-18",2,2,TRUE,"Chicago Bulls","OT1","00:18:00","home",108,115
"2011-03-19",1,1,FALSE,"Memphis Grizzlies","2","02:32:00","away",31,54
"2011-03-19",1,2,TRUE,"Memphis Grizzlies","3","01:23:00","away",56,74
"2011-03-19",2,2,TRUE,"Memphis Grizzlies","3","01:23:00","away",57,74
"2011-03-23",1,2,TRUE,"Charlotte Bobcats","2","05:29:00","away",40,42
"2011-03-23",2,2,TRUE,"Charlotte Bobcats","2","05:29:00","away",41,42
"2011-03-25",1,2,FALSE,"Sacramento Kings","3","08:38:00","home",61,41
"2011-03-25",2,2,FALSE,"Sacramento Kings","3","08:38:00","home",61,41
"2011-03-25",1,2,TRUE,"Sacramento Kings","4","06:24:00","home",96,78
"2011-03-25",2,2,FALSE,"Sacramento Kings","4","06:24:00","home",96,78
"2011-03-30",1,2,TRUE,"Detroit Pistons","3","10:48:00","home",47,64
"2011-03-30",2,2,TRUE,"Detroit Pistons","3","10:48:00","home",47,65
"2011-03-30",1,2,TRUE,"Detroit Pistons","4","00:32:00","home",99,108
"2011-03-30",2,2,TRUE,"Detroit Pistons","4","00:32:00","home",99,109
"2011-04-18",1,2,TRUE,"Chicago Bulls","4","02:26:00","away",83,85
"2011-04-18",2,2,FALSE,"Chicago Bulls","4","02:26:00","away",83,85
"2011-04-21",1,2,TRUE,"Chicago Bulls","3","10:11:00","home",45,45
"2011-04-21",2,2,TRUE,"Chicago Bulls","3","10:11:00","home",45,46
"2011-04-21",1,2,TRUE,"Chicago Bulls","4","02:06:00","home",84,81
"2011-04-21",2,2,TRUE,"Chicago Bulls","4","02:06:00","home",84,82
"2011-04-26",1,2,TRUE,"Chicago Bulls","3","09:03:00","away",49,59
"2011-04-26",2,2,TRUE,"Chicago Bulls","3","09:03:00","away",50,59
"2011-12-26",1,2,TRUE,"Detroit Pistons","1","07:33:00","home",8,11
"2011-12-26",2,2,TRUE,"Detroit Pistons","1","07:33:00","home",8,12
"2011-12-26",1,2,TRUE,"Detroit Pistons","2","03:54:00","home",32,38
"2011-12-26",2,2,TRUE,"Detroit Pistons","2","03:54:00","home",32,39
"2011-12-28",1,2,TRUE,"Toronto Raptors","2","02:13:00","away",33,32
"2011-12-28",2,2,TRUE,"Toronto Raptors","2","02:13:00","away",34,32
"2011-12-28",1,2,TRUE,"Toronto Raptors","3","00:53:00","away",62,53
"2011-12-28",2,2,TRUE,"Toronto Raptors","3","00:53:00","away",63,53
"2011-12-30",1,2,TRUE,"Cleveland Cavaliers","2","05:10:00","home",38,31
"2011-12-30",2,2,TRUE,"Cleveland Cavaliers","2","05:10:00","home",38,32
"2011-12-31",1,1,TRUE,"Detroit Pistons","2","02:06:00","away",38,44
"2011-12-31",1,2,TRUE,"Detroit Pistons","4","08:03:00","away",71,87
"2011-12-31",2,2,FALSE,"Detroit Pistons","4","08:03:00","away",71,87
"2012-01-04",1,2,TRUE,"Miami Heat","3","09:12:00","away",47,68
"2012-01-04",2,2,TRUE,"Miami Heat","3","09:12:00","away",48,68
"2012-01-04",1,2,FALSE,"Miami Heat","4","09:27:00","away",68,95
"2012-01-04",2,2,FALSE,"Miami Heat","4","09:27:00","away",68,95
"2012-01-07",1,2,TRUE,"Charlotte Bobcats","2","03:54:00","home",39,36
"2012-01-07",2,2,TRUE,"Charlotte Bobcats","2","03:54:00","home",39,37
"2012-01-07",1,1,FALSE,"Charlotte Bobcats","4","00:47:00","home",77,97
"2012-01-09",1,2,TRUE,"Philadelphia 76ers","4","09:50:00","away",68,75
"2012-01-09",2,2,TRUE,"Philadelphia 76ers","4","09:50:00","away",69,75
"2012-01-11",1,1,TRUE,"Atlanta Hawks","2","07:14:00","home",31,40
"2012-01-13",1,2,FALSE,"Toronto Raptors","3","01:59:00","away",57,60
"2012-01-13",2,2,TRUE,"Toronto Raptors","3","01:59:00","away",58,60
"2012-01-14",1,2,TRUE,"Boston Celtics","1","06:26:00","home",10,12
"2012-01-14",2,2,TRUE,"Boston Celtics","1","06:26:00","home",10,13
"2012-01-14",1,2,TRUE,"Boston Celtics","1","06:06:00","home",12,14
"2012-01-14",2,2,TRUE,"Boston Celtics","1","06:06:00","home",12,15
"2012-01-14",1,2,TRUE,"Boston Celtics","2","11:40:00","home",24,30
"2012-01-14",2,2,TRUE,"Boston Celtics","2","11:40:00","home",24,31
"2012-01-20",1,2,FALSE,"Golden State Warriors","2","04:04:00","away",36,38
"2012-01-20",2,2,TRUE,"Golden State Warriors","2","04:04:00","away",37,38
"2012-01-20",1,2,TRUE,"Golden State Warriors","3","08:37:00","away",47,48
"2012-01-20",2,2,TRUE,"Golden State Warriors","3","08:37:00","away",48,48
"2012-01-22",1,2,FALSE,"Los Angeles Lakers","2","05:12:00","away",33,42
"2012-01-22",2,2,TRUE,"Los Angeles Lakers","2","05:12:00","away",34,42
"2012-01-27",1,2,TRUE,"Boston Celtics","2","01:05:00","away",31,39
"2012-01-27",2,2,TRUE,"Boston Celtics","2","01:05:00","away",32,39
"2012-01-27",1,2,TRUE,"Boston Celtics","3","09:10:00","away",43,46
"2012-01-27",2,2,TRUE,"Boston Celtics","3","09:10:00","away",44,46
"2012-01-27",1,2,TRUE,"Boston Celtics","4","07:16:00","away",70,81
"2012-01-27",2,2,TRUE,"Boston Celtics","4","07:16:00","away",71,81
"2012-01-27",1,2,TRUE,"Boston Celtics","4","00:34:00","away",81,90
"2012-01-27",2,2,TRUE,"Boston Celtics","4","00:34:00","away",82,90
"2012-01-31",1,2,TRUE,"New Jersey Nets","4","01:39:00","home",97,101
"2012-01-31",2,2,TRUE,"New Jersey Nets","4","01:39:00","home",97,102
"2012-01-31",1,2,TRUE,"New Jersey Nets","4","00:09:00","home",99,105
"2012-01-31",2,2,TRUE,"New Jersey Nets","4","00:09:00","home",99,106
"2012-02-01",1,2,FALSE,"Minnesota Timberwolves","2","03:19:00","away",36,36
"2012-02-01",2,2,TRUE,"Minnesota Timberwolves","2","03:19:00","away",37,36
"2012-02-03",1,1,TRUE,"Dallas Mavericks","3","11:30:00","away",57,53
"2012-02-04",1,1,TRUE,"Orlando Magic","4","07:29:00","home",69,68
"2012-02-04",1,2,TRUE,"Orlando Magic","4","00:53:00","home",80,74
"2012-02-04",2,2,TRUE,"Orlando Magic","4","00:53:00","home",80,75
"2012-02-07",1,2,TRUE,"Utah Jazz","1","08:19:00","home",7,5
"2012-02-07",2,2,TRUE,"Utah Jazz","1","08:19:00","home",7,6
"2012-02-08",1,3,FALSE,"Atlanta Hawks","1","11:07:00","away",0,0
"2012-02-08",2,3,FALSE,"Atlanta Hawks","1","11:07:00","away",0,0
"2012-02-08",3,3,TRUE,"Atlanta Hawks","1","11:07:00","away",1,0
"2012-02-08",1,2,TRUE,"Atlanta Hawks","2","01:38:00","away",35,55
"2012-02-08",2,2,TRUE,"Atlanta Hawks","2","01:38:00","away",36,55
"2012-02-10",1,2,TRUE,"Memphis Grizzlies","3","09:31:00","away",48,50
"2012-02-10",2,2,TRUE,"Memphis Grizzlies","3","09:31:00","away",49,50
"2012-02-10",1,2,TRUE,"Memphis Grizzlies","4","09:25:00","away",76,77
"2012-02-10",2,2,TRUE,"Memphis Grizzlies","4","09:25:00","away",77,77
"2012-02-11",1,2,FALSE,"Denver Nuggets","2","01:08:00","home",56,55
"2012-02-11",2,2,TRUE,"Denver Nuggets","2","01:08:00","home",56,56
"2012-02-14",1,2,FALSE,"Miami Heat","1","07:02:00","home",13,8
"2012-02-14",2,2,TRUE,"Miami Heat","1","07:02:00","home",13,9
"2012-02-14",1,2,TRUE,"Miami Heat","4","08:41:00","home",95,67
"2012-02-14",2,2,FALSE,"Miami Heat","4","08:41:00","home",95,67
"2012-02-15",1,2,FALSE,"Cleveland Cavaliers","2","10:24:00","away",22,34
"2012-02-15",2,2,FALSE,"Cleveland Cavaliers","2","10:24:00","away",22,34
"2012-02-15",1,2,FALSE,"Cleveland Cavaliers","4","09:34:00","away",61,79
"2012-02-15",2,2,FALSE,"Cleveland Cavaliers","4","09:34:00","away",61,79
"2012-02-15",1,2,TRUE,"Cleveland Cavaliers","4","05:10:00","away",71,84
"2012-02-15",2,2,TRUE,"Cleveland Cavaliers","4","05:10:00","away",72,84
"2012-02-16",1,2,TRUE,"New Jersey Nets","4","00:14:00","home",86,92
"2012-02-16",2,2,TRUE,"New Jersey Nets","4","00:14:00","home",86,93
"2012-02-28",1,2,FALSE,"Golden State Warriors","3","09:25:00","home",40,59
"2012-02-28",2,2,TRUE,"Golden State Warriors","3","09:25:00","home",40,60
"2012-03-03",1,2,TRUE,"New Orleans Hornets","3","09:23:00","away",56,39
"2012-03-03",2,2,TRUE,"New Orleans Hornets","3","09:23:00","away",57,39
"2012-03-03",1,2,TRUE,"New Orleans Hornets","3","06:06:00","away",62,44
