player,year,greens,holes,cut
Aaron Baddeley,2019,148,290,Other
Aaron Baddeley,2019,337,444,Fairway
Aaron Baddeley,2019,16,35,Bunker
Aaron Wise,2019,182,330,Other
Aaron Wise,2019,480,599,Fairway
Aaron Wise,2019,12,41,Bunker
Abraham Ancer,2019,184,322,Other
Abraham Ancer,2019,645,865,Fairway
Abraham Ancer,2019,18,45,Bunker
Adam Hadwin,2019,162,320,Other
Adam Hadwin,2019,599,776,Fairway
Adam Hadwin,2019,27,49,Bunker
Adam Long,2019,142,289,Other
Adam Long,2019,535,707,Fairway
Adam Long,2019,39,67,Bunker
Adam Schenk,2019,251,473,Other
Adam Schenk,2019,675,856,Fairway
Adam Schenk,2019,38,68,Bunker
Adam Scott,2019,164,300,Other
Adam Scott,2019,415,511,Fairway
Adam Scott,2019,22,42,Bunker
Adam Svensson,2019,152,274,Other
Adam Svensson,2019,482,610,Fairway
Adam Svensson,2019,29,51,Bunker
Alex Cejka,2019,101,200,Other
Alex Cejka,2019,325,467,Fairway
Alex Cejka,2019,15,28,Bunker
Alex Noren,2019,139,278,Other
Alex Noren,2019,391,524,Fairway
Alex Noren,2019,21,38,Bunker
Alex Prugh,2019,187,308,Other
Alex Prugh,2019,522,635,Fairway
Alex Prugh,2019,25,48,Bunker
Anders Albertson,2019,165,318,Other
Anders Albertson,2019,422,538,Fairway
Anders Albertson,2019,19,39,Bunker
Andrew Landry,2019,139,257,Other
Andrew Landry,2019,559,743,Fairway
Andrew Landry,2019,15,36,Bunker
Andrew Putnam,2019,178,358,Other
Andrew Putnam,2019,500,647,Fairway
Andrew Putnam,2019,24,62,Bunker
Anirban Lahiri,2019,163,317,Other
Anirban Lahiri,2019,411,578,Fairway
Anirban Lahiri,2019,32,67,Bunker
Austin Cook,2019,108,228,Other
Austin Cook,2019,479,626,Fairway
Austin Cook,2019,12,37,Bunker
Beau Hossler,2019,214,396,Other
Beau Hossler,2019,531,686,Fairway
Beau Hossler,2019,39,77,Bunker
Ben Silverman,2019,141,264,Other
Ben Silverman,2019,484,645,Fairway
Ben Silverman,2019,16,40,Bunker
Bill Haas,2019,163,321,Other
Bill Haas,2019,447,590,Fairway
Bill Haas,2019,25,51,Bunker
Billy Horschel,2019,194,381,Other
Billy Horschel,2019,649,836,Fairway
Billy Horschel,2019,45,75,Bunker
Brady Schnell,2019,100,198,Other
Brady Schnell,2019,351,481,Fairway
Brady Schnell,2019,16,34,Bunker
Branden Grace,2019,189,361,Other
Branden Grace,2019,419,543,Fairway
Branden Grace,2019,19,45,Bunker
Brandon Harkins,2019,249,445,Other
Brandon Harkins,2019,523,659,Fairway
Brandon Harkins,2019,26,53,Bunker
Brandt Snedeker,2019,220,442,Other
Brandt Snedeker,2019,673,876,Fairway
Brandt Snedeker,2019,30,67,Bunker
Brendan Steele,2019,133,238,Other
Brendan Steele,2019,477,595,Fairway
Brendan Steele,2019,13,33,Bunker
Brian Gay,2019,156,314,Other
Brian Gay,2019,622,871,Fairway
Brian Gay,2019,28,56,Bunker
Brian Harman,2019,158,332,Other
Brian Harman,2019,626,848,Fairway
Brian Harman,2019,31,64,Bunker
Brian Stuard,2019,160,337,Other
Brian Stuard,2019,680,932,Fairway
Brian Stuard,2019,16,42,Bunker
Brice Garnett,2019,170,300,Other
Brice Garnett,2019,656,851,Fairway
Brice Garnett,2019,17,40,Bunker
Bronson Burgoon,2019,115,222,Other
Bronson Burgoon,2019,406,512,Fairway
Bronson Burgoon,2019,14,36,Bunker
Brooks Koepka,2019,205,356,Other
Brooks Koepka,2019,513,643,Fairway
Brooks Koepka,2019,23,41,Bunker
Bryson DeChambeau,2019,160,304,Other
Bryson DeChambeau,2019,497,658,Fairway
Bryson DeChambeau,2019,26,50,Bunker
Bubba Watson,2019,167,309,Other
Bubba Watson,2019,372,472,Fairway
Bubba Watson,2019,18,31,Bunker
Bud Cauley,2019,180,360,Other
Bud Cauley,2019,564,725,Fairway
Bud Cauley,2019,31,61,Bunker
Byeong Hun An,2019,228,409,Other
Byeong Hun An,2019,501,625,Fairway
Byeong Hun An,2019,19,44,Bunker
C.T. Pan,2019,163,347,Other
C.T. Pan,2019,561,741,Fairway
C.T. Pan,2019,17,56,Bunker
Cam Davis,2019,245,394,Other
Cam Davis,2019,447,583,Fairway
Cam Davis,2019,14,28,Bunker
Cameron Champ,2019,246,432,Other
Cameron Champ,2019,479,590,Fairway
Cameron Champ,2019,24,45,Bunker
Cameron Smith,2019,175,365,Other
Cameron Smith,2019,456,615,Fairway
Cameron Smith,2019,32,56,Bunker
Cameron Tringale,2019,198,322,Other
Cameron Tringale,2019,431,549,Fairway
Cameron Tringale,2019,18,36,Bunker
Carlos Ortiz,2019,213,374,Other
Carlos Ortiz,2019,553,714,Fairway
Carlos Ortiz,2019,24,58,Bunker
Charles Howell III,2019,219,403,Other
Charles Howell III,2019,661,803,Fairway
Charles Howell III,2019,29,72,Bunker
Charley Hoffman,2019,191,363,Other
Charley Hoffman,2019,444,568,Fairway
Charley Hoffman,2019,17,44,Bunker
Chase Wright,2019,170,309,Other
Chase Wright,2019,466,603,Fairway
Chase Wright,2019,23,51,Bunker
Chesson Hadley,2019,184,354,Other
Chesson Hadley,2019,462,616,Fairway
Chesson Hadley,2019,32,61,Bunker
