date,season,rank,school
2017-09-19,2017-18,1,Texas A&M
2017-09-19,2017-18,2,Georgia
2017-09-19,2017-18,3,Auburn
2017-09-19,2017-18,4,Oklahoma State
2017-09-19,2017-18,5,Baylor
2017-09-19,2017-18,6,TCU
2017-09-19,2017-18,7,South Carolina
2017-09-19,2017-18,8,SMU
2017-09-19,2017-18,9,Fresno State
2017-09-19,2017-18,10,Delaware State
2017-09-26,2017-18,1,Texas A&M
2017-09-26,2017-18,2,Georgia
2017-09-26,2017-18,3,Auburn
2017-09-26,2017-18,4,Oklahoma State
2017-09-26,2017-18,5,Baylor
2017-09-26,2017-18,6,TCU
2017-09-26,2017-18,7,South Carolina
2017-09-26,2017-18,8,SMU
2017-09-26,2017-18,9,Fresno State
2017-09-26,2017-18,10,Delaware State
2017-10-03,2017-18,1,Texas A&M
2017-10-03,2017-18,2,Georgia
2017-10-03,2017-18,3,Auburn
2017-10-03,2017-18,4,Oklahoma State
2017-10-03,2017-18,5,Baylor
2017-10-03,2017-18,6,SMU
2017-10-03,2017-18,7,South Carolina
2017-10-03,2017-18,8,TCU
2017-10-03,2017-18,9,Fresno State
2017-10-03,2017-18,10,Delaware State
2017-10-10,2017-18,1,Texas A&M
2017-10-10,2017-18,2,Georgia
2017-10-10,2017-18,3,Auburn
2017-10-10,2017-18,4,Oklahoma State
2017-10-10,2017-18,5,SMU
2017-10-10,2017-18,6,TCU
2017-10-10,2017-18,7,Baylor
2017-10-10,2017-18,8,South Carolina
2017-10-10,2017-18,9,Fresno State
2017-10-10,2017-18,10,UT Martin
2017-10-17,2017-18,1,Georgia
2017-10-17,2017-18,2,Texas A&M
2017-10-17,2017-18,3,Auburn
2017-10-17,2017-18,4,Oklahoma State
2017-10-17,2017-18,5,SMU
2017-10-17,2017-18,6,TCU
2017-10-17,2017-18,7,Baylor
2017-10-17,2017-18,8,Fresno State
2017-10-17,2017-18,9,UT Martin
2017-10-17,2017-18,10,South Dakota State
2017-10-24,2017-18,1,Georgia
2017-10-24,2017-18,2,Texas A&M
2017-10-24,2017-18,3,Auburn
2017-10-24,2017-18,4,SMU
2017-10-24,2017-18,5,Oklahoma State
2017-10-24,2017-18,6,Fresno State
2017-10-24,2017-18,7,TCU
2017-10-24,2017-18,8,Baylor
2017-10-24,2017-18,9,UT Martin
2017-10-24,2017-18,10,South Dakota State
2017-10-31,2017-18,1,Georgia
2017-10-31,2017-18,2,Texas A&M
2017-10-31,2017-18,3,Auburn
2017-10-31,2017-18,4,SMU
2017-10-31,2017-18,5,Fresno State
2017-10-31,2017-18,6,Oklahoma State
2017-10-31,2017-18,7,TCU
2017-10-31,2017-18,8,South Carolina
2017-10-31,2017-18,9,Baylor
2017-10-31,2017-18,10,UT Martin
2017-11-07,2017-18,1,Georgia
2017-11-07,2017-18,2,Texas A&M
2017-11-07,2017-18,3,Auburn
2017-11-07,2017-18,4,SMU
2017-11-07,2017-18,5,Fresno State
2017-11-07,2017-18,6,Oklahoma State
2017-11-07,2017-18,7,Baylor
2017-11-07,2017-18,8,TCU
2017-11-07,2017-18,9,South Carolina
2017-11-07,2017-18,10,UT Martin
2017-11-14,2017-18,1,Georgia
2017-11-14,2017-18,2,Texas A&M
2017-11-14,2017-18,3,SMU
2017-11-14,2017-18,4,Auburn
2017-11-14,2017-18,5,Oklahoma State
2017-11-14,2017-18,6,Fresno
2017-11-14,2017-18,7,Baylor
2017-11-14,2017-18,8,UT Martin
2017-11-14,2017-18,9,TCU
2017-11-14,2017-18,10,South Carolina
2017-11-21,2017-18,1,Georgia
2017-11-21,2017-18,2,SMU
2017-11-21,2017-18,3,Texas A&M
2017-11-21,2017-18,4,Oklahoma State
2017-11-21,2017-18,5,Auburn
2017-11-21,2017-18,6,Fresno
2017-11-21,2017-18,7,Baylor
2017-11-21,2017-18,8,UT Martin
2017-11-21,2017-18,9,TCU
2017-11-21,2017-18,10,South Dakota State
2018-01-30,2017-18,1,Georgia
2018-01-30,2017-18,2,SMU
2018-01-30,2017-18,3,Oklahoma State
2018-01-30,2017-18,4,Texas A&M
2018-01-30,2017-18,5,Auburn
2018-01-30,2017-18,6,Fresno State
2018-01-30,2017-18,7,TCU
2018-01-30,2017-18,8,Baylor
