Date,Away,Home,Location,Away_Score,Home_Score
2023-01-26,South Dakota State,TCU,"Fort Worth, Texas",3,16
2023-01-27,UT Martin,Baylor,"Waco, Texas",2,15
2023-01-27,South Dakota State,Texas A&M,Bryan-College Station,2,18
2023-01-28,UT Martin,SMU,"Dallas, Texas",5,13
2023-01-28,South Dakota State,Baylor,"Waco, Texas",3,17
2023-02-02,Minnesota-Crookston,UC Davis,"Davis, Calif. (Conf.)",0,15
2023-02-03,Minnesota-Crookston,Fresno State,"Fresno, Calif.",3,13
2023-02-03,Minnesota-Crookston,Fresno State,"Fresno, Calif.",3,13
2023-02-03,Baylor,Minnesota-Crookston,"Fresno, Calif.",10,3
2023-02-04,South Carolina,Georgia,"Bishop, Ga. (Conf.)",6,14
2023-02-04,Auburn,Texas A&M,Bryan-College Station (Conf.),5,13
2023-02-04,Baylor,Fresno State,"Fresno, Calif. (Conf.)",4,13
2023-02-04,Sweet Briar College,Georgia,"Athens, Ga.",1,8
2023-02-10,Delaware State,South Dakota State,"Brookings, S.D. (Conf.)",9,10
2023-02-10,TCU,Fresno State,"Fresno, Calif. (Conf.)",15,4
2023-02-10,Lynchburg,Sweet Briar College,"Sweet Briar, Va. (Conf.)",4,6
2023-02-10,Delaware State,Minnesota-Crookston,"Brookings, S.D.",14,2
2023-02-11,Minnesota-Crookston,South Dakota State,"Brookings, S.D. (Conf.)",1,13
2023-02-11,Texas A&M,South Carolina,"Blythewood, S.C. (Conf.)",11,8
2023-02-11,SMU,UT Martin,"Martin, Tenn.",12,6
2023-02-11,Georgia,Oklahoma State,"Stillwater, Okla.",8,11
2023-02-11,TCU,UC Davis,"Davis, Calif.",11,9
2023-02-18,Texas A&M,TCU,"Fort Worth, Texas",4,15
2023-02-18,Georgia,Auburn,"Auburn, Ala. (Conf.)",4,14
2023-02-18,Oklahoma State,Baylor,"Waco, Texas (Conf.)",10,9
2023-02-23,SMU,South Carolina,"Columbia, S.C.",13,7
2023-02-24,Dartmouth College,Lynchburg,"Lynchburg, Va.",1,8
2023-02-24,Bridgewater College,Sweet Briar College,"Sweet Briar, Va. (Conf.)",4,6
2023-02-24,SMU,Georgia,"Bishop, Ga.",10,9
2023-02-24,Dartmouth College,Sweet Briar College,"Sweet Briar, VA (Conf.)",1,9
2023-02-25,SMU,Auburn,"Auburn, Ala.",5,15
2023-02-25,TCU,Oklahoma State,"Stillwater, Okla. (Conf.)",9,11
2023-02-28,UT Martin,South Dakota State,"Brookings, S.D. (Conf.)",11,9
2023-03-02,SMU,Baylor,"Waco, Texas",10,8
2023-03-03,Berry College (Ga.),Sweet Briar College,"Sweet Briar, Va.",3,4
2023-03-03,Oklahoma State,UC Davis,"Davis, Calif. (Conf.)",13,7
2023-03-03,South Carolina,Auburn,"Auburn, Ala. (Conf.)",4,14
2023-03-04,Berry College (Ga.),Lynchburg,"Lynchburg, Va.",4,4
2023-03-04,Baylor,TCU,"Fort Worth, Texas (Conf.)",7,12
2023-03-04,Georgia,Texas A&M,"College Station, Tex. (Conf.)",8,12
2023-03-04,Bridgewater College,Berry College,"Lynchburg, Va.",4,4
2023-03-04,Oklahoma State,Fresno State,"Fresno, Calif. (Conf.)",9,10
2023-03-05,Bridgewater College,Lynchburg,"Lynchburg, Va.",3,5
2023-03-10,Bridgewater College,UT Martin,"Martin, Tenn.",6,4
2023-03-11,Texas A&M,SMU,"Dallas, Texas",6,11
2023-03-11,Miami (Ohio),UT Martin,"Martin, Tenn.",4,17
2023-03-11,Lynchburg,Oklahoma State,"Stillwater, Okla.",0,9
2023-03-23,Sacred Heart,Dartmouth College,"Rustburg, VA",7,2
2023-03-23,Minnesota-Crookston,South Dakota State,"Brookings, S.D.",3,13
2023-03-24,Auburn,South Carolina,"Blythewood, S.C.",13,7
2023-03-24,UT Martin,South Dakota State,"Brookings, S.D.",14,6
2023-03-24,Sacred Heart,Lynchburg,"Rustburg, Va.",2,8
2023-03-24,Delaware State,UC Davis,"Brookings, S.D.",8,10
2023-03-24,Baylor,Oklahoma State,"Stillwater, Okla.",8,12
2023-03-24,TCU,Fresno State,"Stillwater, Okla.",15,5
2023-03-24,Bridgewater College,Sweet Briar College,"Rustburg, VA",1,9
2023-03-24,Georgia,Texas A&M,"Blythewood, S.C.",8,10
2023-03-25,Georgia,South Carolina,"Blythewood, S.C.",15,5
2023-03-25,Sweet Briar College,Lynchburg,"Rustburg, VA",6,3
2023-03-25,Baylor,Fresno State,"Stillwater, Okla.",16,4
2023-03-25,UT Martin,UC Davis,"Brookings, SD",8,10
2023-03-25,TCU,Oklahoma State,"Stillwater, OK",8,12
2023-03-25,Texas A&M,Auburn,"Blythewood, S.C.",6,13
2023-04-13,SMU,Baylor,"Ocala, FL.",10,8
2023-04-13,Texas A&M,TCU,"Ocala, Fla.",7,13
2023-04-13,South Carolina,Auburn,"Ocala, Fla.",7,13
2023-04-13,Georgia,Oklahoma State,"Ocala, Fla.",7,13
2023-04-14,Sacred Heart,Sweet Briar College,"Ocala, Fla.",3,5
2023-04-14,Lynchburg,Bridgewater College,"Ocala, Fla.",7,1
2023-04-14,SMU,TCU,"Ocala, FL",14,6
2023-04-14,Auburn,Oklahoma State,"Ocala, FL",14,6
2023-04-15,Lynchburg,Sweet Briar College,"Ocala, FL",4,4
2023-04-15,Auburn,SMU,"Ocala, Fla.",8,11
2023-09-22,UC Davis,South Carolina,"Columbia, SC",8,11
2023-09-22,SMU,TCU,"Burleson, Texas",6,12
2023-09-22,Minnesota-Crookston,Delaware State,"Felton, Del. (Conf.)",1,15
2023-09-23,UC Davis,Auburn,"Auburn, Ala.",4,14
2023-09-29,UT Martin,South Carolina,"Blythewood, SC",4,14
2023-09-29,Lynchburg,South Carolina,"Columbia, SC",0,7
2023-09-29,Baylor,Texas A&M,"Bryan-College Station, Texas",3,16
2023-09-30,UT Martin,Georgia,"Bishop, Ga.",3,13
2023-10-05,TCU,Oklahoma State,"Stillwater, Okla. (Conf.)",10,9
2023-10-06,Georgia,Texas A&M,Bryan-College Station (Conf.),6,13
2023-10-06,Auburn,Baylor,"Waco, TX",16,3
2023-10-06,South Carolina,South Dakota State,"Brookings, S.D.",12,8
2023-10-07,South Carolina,Fresno State,"Brookings, S.D.",12,4
2023-10-07,Fresno State,South Dakota State,"Brookings, SD",9,10
2023-10-08,Bridgewater College,Sweet Briar College,"Sweet Briar, Va.",2,8
2023-10-12,South Dakota State,UT Martin,"Martin, Tenn. (Conf.)",5,15
2023-10-13,Auburn,UT Martin,"Martin, Tenn.",11,9
2023-10-13,Oklahoma State,Baylor,"Waco, Texas (Conf.)",10,8
2023-10-13,South Carolina,Georgia,"Athens, GA (Conf.)",4,15
2023-10-14,Oklahoma State,SMU,"Dallas, Texas",7,10
