player,round,score,tour
Jon Rahm,1,65,PGA
Jon Rahm,2,69,PGA
Jon Rahm,3,73,PGA
Jon Rahm,4,69,PGA
Phil Mickelson,1,71,LIV
Phil Mickelson,2,69,LIV
Phil Mickelson,3,75,LIV
Phil Mickelson,4,65,LIV
Brooks Koepka,1,65,LIV
Brooks Koepka,2,67,LIV
Brooks Koepka,3,73,LIV
Brooks Koepka,4,75,LIV
Jordan Spieth,1,69,PGA
Jordan Spieth,2,70,PGA
Jordan Spieth,3,76,PGA
Jordan Spieth,4,66,PGA
Patrick Reed,1,71,LIV
Patrick Reed,2,70,LIV
Patrick Reed,3,72,LIV
Patrick Reed,4,68,LIV
Russell Henley,1,73,PGA
Russell Henley,2,67,PGA
Russell Henley,3,71,PGA
Russell Henley,4,70,PGA
Cameron Young,1,67,PGA
Cameron Young,2,72,PGA
Cameron Young,3,75,PGA
Cameron Young,4,68,PGA
Viktor Hovland,1,65,PGA
Viktor Hovland,2,73,PGA
Viktor Hovland,3,70,PGA
Viktor Hovland,4,74,PGA
Sahith Theegala,1,73,PGA
Sahith Theegala,2,70,PGA
Sahith Theegala,3,73,PGA
Sahith Theegala,4,67,PGA
Scottie Scheffler,1,68,PGA
Scottie Scheffler,2,75,PGA
Scottie Scheffler,3,71,PGA
Scottie Scheffler,4,70,PGA
Matt Fitzpatrick,1,70,PGA
Matt Fitzpatrick,2,72,PGA
Matt Fitzpatrick,3,72,PGA
Matt Fitzpatrick,4,70,PGA
Xander Schauffele,1,68,PGA
Xander Schauffele,2,74,PGA
Xander Schauffele,3,71,PGA
Xander Schauffele,4,71,PGA
Collin Morikawa,1,69,PGA
Collin Morikawa,2,69,PGA
Collin Morikawa,3,74,PGA
Collin Morikawa,4,72,PGA
Gary Woodland,1,68,PGA
Gary Woodland,2,72,PGA
Gary Woodland,3,73,PGA
Gary Woodland,4,72,PGA
Patrick Cantlay,1,71,PGA
Patrick Cantlay,2,71,PGA
Patrick Cantlay,3,68,PGA
Patrick Cantlay,4,75,PGA
Tom Kim,1,70,PGA
Tom Kim,2,72,PGA
Tom Kim,3,74,PGA
Tom Kim,4,70,PGA
Sungjae Im,1,71,PGA
Sungjae Im,2,76,PGA
Sungjae Im,3,67,PGA
Sungjae Im,4,72,PGA
Joaquín Niemann,1,71,LIV
Joaquín Niemann,2,69,LIV
Joaquín Niemann,3,74,LIV
Joaquín Niemann,4,72,LIV
Shane Lowry,1,68,PGA
Shane Lowry,2,72,PGA
Shane Lowry,3,73,PGA
Shane Lowry,4,73,PGA
Justin Rose,1,69,PGA
Justin Rose,2,71,PGA
Justin Rose,3,73,PGA
Justin Rose,4,73,PGA
Sam Bennett,1,68,Amateur
Sam Bennett,2,68,Amateur
Sam Bennett,3,76,Amateur
Sam Bennett,4,74,Amateur
Hideki Matsuyama,1,71,PGA
Hideki Matsuyama,2,70,PGA
Hideki Matsuyama,3,70,PGA
Hideki Matsuyama,4,75,PGA
Chris Kirk,1,70,PGA
Chris Kirk,2,74,PGA
Chris Kirk,3,72,PGA
Chris Kirk,4,71,PGA
Keegan Bradley,1,70,PGA
Keegan Bradley,2,72,PGA
Keegan Bradley,3,74,PGA
Keegan Bradley,4,71,PGA
K.H. Lee,1,74,PGA
K.H. Lee,2,67,PGA
K.H. Lee,3,74,PGA
K.H. Lee,4,72,PGA
Scott Stallings,1,70,PGA
Scott Stallings,2,77,PGA
Scott Stallings,3,69,PGA
Scott Stallings,4,72,PGA
Tony Finau,1,69,PGA
Tony Finau,2,74,PGA
Tony Finau,3,73,PGA
Tony Finau,4,72,PGA
Ryan Fox,1,70,PGA
Ryan Fox,2,71,PGA
Ryan Fox,3,74,PGA
Ryan Fox,4,73,PGA
Mackenzie Hughes,1,76,PGA
Mackenzie Hughes,2,69,PGA
Mackenzie Hughes,3,74,PGA
Mackenzie Hughes,4,70,PGA
Harold Varner III,1,72,LIV
Harold Varner III,2,71,LIV
Harold Varner III,3,76,LIV
Harold Varner III,4,70,LIV
Si Woo Kim,1,73,PGA
Si Woo Kim,2,72,PGA
Si Woo Kim,3,72,PGA
Si Woo Kim,4,72,PGA
Sam Burns,1,68,PGA
Sam Burns,2,71,PGA
Sam Burns,3,78,PGA
Sam Burns,4,72,PGA
Tommy Fleetwood,1,72,PGA
Tommy Fleetwood,2,71,PGA
Tommy Fleetwood,3,74,PGA
Tommy Fleetwood,4,74,PGA
J.T. Poston,1,74,PGA
J.T. Poston,2,72,PGA
J.T. Poston,3,76,PGA
J.T. Poston,4,70,PGA
Talor Gooch,1,72,LIV
Talor Gooch,2,74,LIV
Talor Gooch,3,73,LIV
Talor Gooch,4,73,LIV
Zach Johnson,1,75,PGA
Zach Johnson,2,70,PGA
Zach Johnson,3,74,PGA
Zach Johnson,4,73,PGA
Cameron Smith,1,70,LIV
Cameron Smith,2,72,LIV
Cameron Smith,3,75,LIV
Cameron Smith,4,75,LIV
Tyrrell Hatton,1,71,PGA
Tyrrell Hatton,2,73,PGA
Tyrrell Hatton,3,72,PGA
Tyrrell Hatton,4,76,PGA
Adam Scott,1,68,PGA
Adam Scott,2,74,PGA
Adam Scott,3,77,PGA
Adam Scott,4,74,PGA
Abraham Ancer,1,72,LIV
Abraham Ancer,2,71,LIV
Abraham Ancer,3,74,LIV
Abraham Ancer,4,76,LIV
Taylor Moore,1,73,PGA
Taylor Moore,2,72,PGA
Taylor Moore,3,70,PGA
Taylor Moore,4,78,PGA
Jason Day,1,67,PGA
Jason Day,2,72,PGA
Jason Day,3,74,PGA
Jason Day,4,80,PGA
Mito Pereira,1,74,LIV
Mito Pereira,2,70,LIV
Mito Pereira,3,77,LIV
Mito Pereira,4,73,LIV
Harris English,1,71,PGA
Harris English,2,71,PGA
Harris English,3,77,PGA
Harris English,4,75,PGA
Max Homa,1,71,PGA
Max Homa,2,73,PGA
Max Homa,3,72,PGA
Max Homa,4,78,PGA
Séamus Power,1,73,PGA
Séamus Power,2,72,PGA
Séamus Power,3,73,PGA
Séamus Power,4,77,PGA
Sepp Straka,1,70,PGA
Sepp Straka,2,73,PGA
Sepp Straka,3,74,PGA
Sepp Straka,4,78,PGA
Dustin Johnson,1,71,LIV
Dustin Johnson,2,72,LIV
Dustin Johnson,3,78,LIV
Dustin Johnson,4,75,LIV
Thomas Pieters,1,74,LIV
Thomas Pieters,2,73,LIV
Thomas Pieters,3,72,LIV
Thomas Pieters,4,77,LIV
Fred Couples,1,71,Senior
Fred Couples,2,74,Senior
Fred Couples,3,76,Senior
Fred Couples,4,76,Senior
Charl Schwartzel,1,74,LIV
Charl Schwartzel,2,73,LIV
Charl Schwartzel,3,73,LIV
Charl Schwartzel,4,77,LIV
Billy Horschel,1,73,PGA
Billy Horschel,2,74,PGA
Billy Horschel,3,74,PGA
Billy Horschel,4,79,PGA
Keith Mitchell,1,75,PGA
Keith Mitchell,2,71,PGA
Keith Mitchell,3,77,PGA
Keith Mitchell,4,79,PGA
Bryson DeChambeau,1,74,LIV
Bryson DeChambeau,2,74,LIV
Tom Hoge,1,74,PGA
Tom Hoge,2,74,PGA
Francesco Molinari,1,72,PGA
Francesco Molinari,2,76,PGA
Mike Weir,1,72,Senior
Mike Weir,2,76,Senior
Justin Thomas,1,70,PGA
Justin Thomas,2,78,PGA
Bernhard Langer,1,75,Senior
Bernhard Langer,2,74,Senior
Ben Carr,1,75,Amateur
Ben Carr,2,74,Amateur
Adrian Meronk,1,73,PGA
Adrian Meronk,2,76,PGA
Rory McIlroy,1,72,PGA
Rory McIlroy,2,77,PGA
Kevin Kisner,1,72,PGA
Kevin Kisner,2,77,PGA
Cameron Champ,1,76,PGA
Cameron Champ,2,74,PGA
Kazuki Higa,1,76,PGA
Kazuki Higa,2,74,PGA
Danny Willett,1,75,PGA
Danny Willett,2,75,PGA
Vijay Singh,1,75,Senior
Vijay Singh,2,75,Senior
Min Woo Lee,1,75,PGA
Min Woo Lee,2,75,PGA
Aldrich Potgieter,1,77,Amateur
Aldrich Potgieter,2,74,Amateur
Brian Harman,1,77,PGA
Brian Harman,2,74,PGA
Matthew McClean (a),1,77,Amateur
Matthew McClean (a),2,74,Amateur
Mateo Fernandez de Oliveira,1,76,Amateur
Mateo Fernandez de Oliveira,2,75,Amateur
