"date","event","arena","city","result","result_type","ref1","ref1_score","ref2","ref2_score","ref3","ref3_score"
"December 16, 1995","UU 95: Ultimate Ultimate 95","Mammoth Gardens","Denver, Colorado, USA","Severn def. Taktarov","Unanimous","DEPASQUALE JR.","1 - 0","HART JR.","1 - 0","LITTLE","1 - 0"
"December 16, 1995","UU 95: Ultimate Ultimate 95","Mammoth Gardens","Denver, Colorado, USA","Taktarov def. Ruas","Unanimous","DEPASQUALE JR.","1 - 0","HART JR.","1 - 0","LITTLE","1 - 0"
"December 16, 1995","UU 95: Ultimate Ultimate 95","Mammoth Gardens","Denver, Colorado, USA","Severn def. Abbott","Unanimous","DEPASQUALE JR.","1 - 0","HART JR.","1 - 0","LITTLE","1 - 0"
"September 08, 1995","UFC 7: The Brawl in Buffalo","Buffalo Memorial Auditorium","Buffalo, New York, USA","Shamrock drew with Taktarov","Time Limit",NA,"NANA",NA,"NANA",NA,"NANA"
"April 07, 1995","UFC 5: The Return of the Beast","Independence Arena","Charlotte, North Carolina, USA","Shamrock drew with Gracie","Time Limit",NA,"NANA",NA,"NANA",NA,"NANA"
"September 20, 1996","UFC 11: The Proving Ground","Augusta Civic Center","Augusta, Georgia, USA","Ferrozzo def. Abbott","Unanimous","HART JR.","1 - 0","NEKLIA","1 - 0","SHEARER","1 - 0"
"September 20, 1996","UFC 11: The Proving Ground","Augusta Civic Center","Augusta, Georgia, USA","Bohlander def. Gurgel","Unanimous","HART JR.","1 - 0","NEKLIA","1 - 0","SHEARER","1 - 0"
"July 12, 1996","UFC 10: The Tournament","Fair Park Arena","Birmingham, Alabama, USA","Adkins def. Mitchell","Unanimous","DENNY","1 - 0","DEPASQUALE JR.","1 - 0","NEKLIA","1 - 0"
"May 17, 1996","UFC 9: Motor City Madness","Cobo Arena","Detroit, Michigan, USA","Severn def. Shamrock","Split","CAMPBELL","1 - 0","FERGUSON","0 - 1","NEKLIA","1 - 0"
"February 16, 1996","UFC 8: David vs. Goliath","Coliseo Rubén Rodríguez","San Juan, Puerto Rico","Varelans def. Moreira","Unanimous","CASILLAS","1 - 0","QUADROS","1 - 0","YOUNG","1 - 0"
"December 21, 1997","UFC Japan: Ultimate Japan 1","Yokohama Arena","Yokohama, Japan","Couture def. Smith","Majority","FUKASE","1 - 0","HAMILTON","1 - 0","PERETTI","1 - 1"
"December 21, 1997","UFC Japan: Ultimate Japan 1","Yokohama Arena","Yokohama, Japan","Abbott def. Anjo","Unanimous","FUKASE","1 - 0","HAMILTON","1 - 0","PERETTI","1 - 0"
"October 17, 1997","UFC 15: Collision Course","Casino Magic Bay St. Louis","Bay St. Louis, Mississippi, USA","Beneteau def. Barreto","Unanimous","DEPASQUALE JR.","1 - 0","MULLEN","1 - 0","SANTELLA","1 - 0"
"October 17, 1997","UFC 15: Collision Course","Casino Magic Bay St. Louis","Bay St. Louis, Mississippi, USA","Hunter def. Moskowitz","Split","DEPASQUALE JR.","1 - 0","MULLEN","0 - 1","SANTELLA","1 - 0"
"July 27, 1997","UFC 14: Showdown","Boutwell Auditorium","Birmingham, Alabama, USA","Smith def. Coleman","Unanimous","DEPASQUALE JR.","1 - 0","MULLEN","1 - 0","PLOTT","1 - 0"
"July 27, 1997","UFC 14: Showdown","Boutwell Auditorium","Birmingham, Alabama, USA","Moreira def. Vaulin","Unanimous","DEPASQUALE JR.","1 - 0","MULLEN","1 - 0","PLOTT","1 - 0"
"May 30, 1997","UFC 13: The Ultimate Force","Augusta Civic Center","Augusta, Georgia, USA","Mezger def. Leninger","Unanimous","DEPASQUALE JR.","1 - 0","SANTELLA","1 - 0","SHEARER","1 - 0"
"February 07, 1997","UFC 12: Judgement Day","Dothan Civic Center","Dothan, Alabama, USA","Takahashi def. Ismail","Unanimous","DEPASQUALE JR.","1 - 0","MULLEN","1 - 0","SHEARER","1 - 0"
"October 16, 1998","UFC Brazil: Ultimate Brazil","Ginásio da Portuguesa","Sao Paulo, Brazil","Miletich def. Burnett","Split","FABRIKANT","0 - 0","MULLEN","0 - 0","PEREIRA","0 - 0"
"October 16, 1998","UFC Brazil: Ultimate Brazil","Ginásio da Portuguesa","Sao Paulo, Brazil","Kohsaka def. Williams","Unanimous","FABRIKANT","1 - 0","MULLEN","1 - 0","PEREIRA","1 - 0"
"May 15, 1998","UFC 17: Redemption","Mobile Civic Center","Mobile, Alabama, USA","Henderson def. Newton","Split","DEPASQUALE JR.","1 - 0","LEBELL","0 - 1","MULLINAX","1 - 0"
"May 15, 1998","UFC 17: Redemption","Mobile Civic Center","Mobile, Alabama, USA","Henderson def. Goes","Unanimous","DEPASQUALE JR.","1 - 0","LEBELL","1 - 0","MULLINAX","1 - 0"
"May 15, 1998","UFC 17: Redemption","Mobile Civic Center","Mobile, Alabama, USA","Liddell def. Hernandez","Unanimous","DEPASQUALE JR.","1 - 0","LEBELL","1 - 0","MULLINAX","1 - 0"
"March 13, 1998","UFC 16: Battle in the Bayou","Pontchartrain Center","New Orleans, Louisiana, USA","Kohsaka def. Leopoldo","Unanimous","DEPASQUALE JR.","1 - 0","MULLEN","1 - 0","MULLINAX","1 - 0"
"March 13, 1998","UFC 16: Battle in the Bayou","Pontchartrain Center","New Orleans, Louisiana, USA","Miletich def. Saunders","Split","DEPASQUALE JR.","0 - 1","MULLEN","1 - 0","MULLINAX","1 - 0"
"November 19, 1999","UFC 23: Ultimate Japan 2","Tokyo Bay NK Hall","Chiba, Japan","Randleman def. Williams","Unanimous","FUKASE","1 - 0","MORIYAMA","1 - 0","UMEKI","1 - 0"
"November 19, 1999","UFC 23: Ultimate Japan 2","Tokyo Bay NK Hall","Chiba, Japan","Yamamoto def. Takase","Unanimous","FUKASE","1 - 0","MORIYAMA","1 - 0","UMEKI","1 - 0"
"September 24, 1999","UFC 22: There Can Only Be One Champion","Lake Charles Civic Center","Lake Charles, Louisiana, USA","Lajcik drew with Waterman","Unknown","HALL","0 - 0","MULLEN","0 - 0","PREJEAN","0 - 0"
